lam_bar,z_bar,R_cMpch,total_30Mpc,rnd_30Mpc,cl_30Mpc,cl_over_total_30Mpc,total_Rmax15,rnd_Rmax15,cl_Rmax15,total_Rmax30,rnd_Rmax30,cl_Rmax30,total_Rmax60,rnd_Rmax60,cl_Rmax60,total_Rmax120,rnd_Rmax120,cl_Rmax120
37.5,0.575,1.0,387587818325754.9,233957959005406.12,153629859320348.78,0.39637432358936503,387587818325754.9,233957959005406.12,153629859320348.78,387587818325754.9,233957959005406.12,153629859320348.78,423766444887705.94,269796296131965.1,153970148755740.84,477962254946674.75,324025449069749.75,153936805876925.03
37.5,0.575,3.0,313595039883547.6,232850566277248.44,80744473606299.2,0.25748007250460136,313595039883547.6,232850566277248.44,80744473606299.2,313595039883547.6,232850566277248.44,80744473606299.2,349947626174419.44,268860869457116.25,81086756717303.19,404240116999244.0,323186742961783.7,81053374037460.28
37.5,0.575,10.0,257377266565853.3,225288708750836.03,32088557815017.27,0.12467518302284478,257377266565853.3,225288708750836.03,32088557815017.27,257377266565853.3,225288708750836.03,32088557815017.27,295736437851789.1,263292165829267.28,32444272022521.832,351111666769930.2,318707578655157.06,32404088114773.105
52.5,0.275,0.3,333811097761848.06,151554816326405.75,182256281435442.3,0.5459862858288492,333811097761848.06,151554816326405.75,182256281435442.3,333811097761848.06,151554816326405.75,182256281435442.3,357992182505080.9,175153313949925.3,182838868555155.6,391645517271470.9,208753990550914.97,182891526720555.9
52.5,0.275,1.0,308940865183946.8,151524275384343.47,157416589799603.34,0.5095363143554212,308940865183946.8,151524275384343.47,157416589799603.34,308940865183946.8,151524275384343.47,157416589799603.34,333135125878671.8,175135569617852.16,157999556260819.66,366794970251251.9,208742744363210.03,158052225888041.8
52.5,0.275,3.0,238397543161595.2,150849949027489.78,87547594134105.42,0.36723362570377766,238397543161595.2,150849949027489.78,87547594134105.42,238397543161595.2,150849949027489.78,87547594134105.42,262708356021093.94,174574436485620.78,88133919535473.17,296425548488557.44,208238858794857.6,88186689693699.86
52.5,0.275,10.0,184029619400725.25,146051268922815.06,37978350477910.195,0.2063708581345929,184029619400725.25,146051268922815.06,37978350477910.195,184029619400725.25,146051268922815.06,37978350477910.195,209696692285126.2,171100610352266.88,38596081932859.305,244048653894801.62,205405542100331.88,38643111794469.734
52.5,0.425,0.3,380133166698966.9,189070067094002.62,191063099604964.28,0.5026214925262493,380133166698966.9,189070067094002.62,191063099604964.28,380133166698966.9,189070067094002.62,191063099604964.28,409835228144046.4,218272232812461.38,191562995331585.0,452612923384208.75,261046038781078.25,191566884603130.53
52.5,0.425,1.0,352976257306491.9,189029824221917.3,163946433084574.56,0.4644687275445234,352976257306491.9,189029824221917.3,163946433084574.56,352976257306491.9,189029824221917.3,163946433084574.56,382694489720727.7,218247831937215.4,164446657783512.28,425480636900243.75,261030086724410.56,164450550175833.22
52.5,0.425,3.0,280754928912947.12,188161763747291.28,92593165165655.86,0.32980067535828,280754928912947.12,188161763747291.28,92593165165655.86,280754928912947.12,188161763747291.28,92593165165655.86,310616206127046.4,217519903134177.6,93096302992868.81,353476815683926.75,260376593236438.16,93100222447488.58
52.5,0.425,10.0,220943144282887.0,182116029398523.72,38827114884363.266,0.17573351284731667,220943144282887.0,182116029398523.72,38827114884363.266,220943144282887.0,182116029398523.72,38827114884363.266,252461499456958.62,213107059745303.4,39354439711655.23,296150025078704.0,256798906011069.47,39351119067634.52
52.5,0.575,0.3,464206076250587.06,234005331123072.25,230200745127514.8,0.49590205062987625,464206076250587.06,234005331123072.25,230200745127514.8,464206076250587.06,234005331123072.25,230200745127514.8,500439271756428.6,269823781463349.84,230615490293078.75,554616147737021.75,324041319514360.25,230574828222661.47
52.5,0.575,1.0,420450226818427.94,233952595420305.06,186497631398122.88,0.4435664901630845,420450226818427.94,233952595420305.06,186497631398122.88,420450226818427.94,233952595420305.06,186497631398122.88,456703137513267.7,269790486372211.56,186912651141056.12,510890985772165.6,324019002165805.0,186871983606360.66
52.5,0.575,3.0,331345678020348.56,232837839291318.88,98507838729029.7,0.2972962838011732,331345678020348.56,232837839291318.88,98507838729029.7,331345678020348.56,232837839291318.88,98507838729029.7,367772984203572.25,268847694157363.78,98925290046208.5,422057503398915.06,323172929432683.3,98884573966231.75
52.5,0.575,10.0,264414333759099.5,225285943104966.16,39128390654133.34,0.14798135221285744,264414333759099.5,225285943104966.16,39128390654133.34,264414333759099.5,225285943104966.16,39128390654133.34,302851151315398.4,263288926847098.06,39562224468300.3,358216903305353.75,318703689317843.4,39513213987510.37
130.0,0.275,0.3,436004281995513.5,151557135531132.6,284447146464380.9,0.6523953048408544,436004281995513.5,151557135531132.6,284447146464380.9,436004281995513.5,151557135531132.6,284447146464380.9,460616983810146.9,175155980716440.9,285461003093706.0,494309793358732.9,208757143204985.62,285552650153747.25
130.0,0.275,1.0,409570533778828.9,151528867189434.34,258041666589394.5,0.6300298613003711,409570533778828.9,151528867189434.34,258041666589394.5,409570533778828.9,151528867189434.34,258041666589394.5,434196692528782.0,175140509173141.0,259056183355641.0,467896020262823.2,208748169898629.53,259147850364193.66
130.0,0.275,3.0,302848877296538.6,150858210568945.12,151990666727593.53,0.5018696720436239,302848877296538.6,150858210568945.12,151990666727593.53,302848877296538.6,150858210568945.12,151990666727593.53,327594076225117.25,174583047443858.28,153011028781258.94,361350827305874.5,208247956548781.03,153102870757093.44
130.0,0.275,10.0,212077169131876.94,146053409033868.06,66023760098008.88,0.311319508687675,212077169131876.94,146053409033868.06,66023760098008.88,212077169131876.94,146053409033868.06,66023760098008.88,238201893367812.0,171103119444106.44,67098773923705.57,272589172814637.22,205408547095011.2,67180625719626.02
130.0,0.425,0.3,495275819927163.06,189072326495235.25,306203493431927.8,0.6182484206011897,495275819927163.06,189072326495235.25,306203493431927.8,495275819927163.06,189072326495235.25,306203493431927.8,525355652698933.7,218274808924079.3,307080843774854.4,568136800266156.8,261049133806587.06,307087666459569.7
130.0,0.425,1.0,464188658872001.0,189035107052783.84,275153551819217.16,0.5927623317809023,464188658872001.0,189035107052783.84,275153551819217.16,464188658872001.0,189035107052783.84,275153551819217.16,494284911166180.8,218253431650620.9,276031479515559.9,537074513139444.6,261036205462613.84,276038307676830.8
130.0,0.425,3.0,350773490664883.25,188171756534112.6,162601734130770.66,0.4635519457943151,350773490664883.25,188171756534112.6,162601734130770.66,350773490664883.25,188171756534112.6,162601734130770.66,381014988754920.25,217530214326353.47,163484774428566.78,423879074511067.1,260387424430639.3,163491650080427.8
130.0,0.425,10.0,250232514754597.34,182118071452521.2,68114443302076.16,0.2722046068588484,250232514754597.34,182118071452521.2,68114443302076.16,250232514754597.34,182118071452521.2,68114443302076.16,282149366675956.0,213109437599939.94,69039929076016.04,325835911066897.4,256801814953034.34,69034096113863.04
130.0,0.575,0.3,611363297192455.2,234020827210296.5,377342469982158.7,0.6172147914587232,611363297192455.2,234020827210296.5,377342469982158.7,611363297192455.2,234020827210296.5,377342469982158.7,647919736648678.9,269841616087132.5,378078120561546.4,702068671058797.1,324062720690800.7,378005950367996.44
130.0,0.575,1.0,557023784193733.25,233972095844753.5,323051688348979.75,0.5799603132146008,557023784193733.25,233972095844753.5,323051688348979.75,557023784193733.25,233972095844753.5,323051688348979.75,593600152574303.9,269812326602613.22,323787825971690.6,647760055752017.8,324044409675057.8,323715646076959.94
130.0,0.575,3.0,408710245428705.75,232863280797715.3,175846964630990.47,0.43024848678931565,408710245428705.75,232863280797715.3,175846964630990.47,408710245428705.75,232863280797715.3,175846964630990.47,445462902061420.75,268875486698280.94,176587415363139.84,499719444933125.06,323204295650642.7,176515149282482.38
130.0,0.575,10.0,294745095452537.9,225300681875364.34,69444413577173.55,0.2356083770301651,294745095452537.9,225300681875364.34,69444413577173.55,294745095452537.9,225300681875364.34,69444413577173.55,333520066289443.94,263306146630274.8,70213919659169.1,388851492673150.75,318724554919426.7,70126937753724.09
