lam_bar,z_bar,sigma_z,R_excl_cMpch,I_full,I_onesided_x2,rel_err_onesided,I_symmetrised,rel_err_symmetrised,A_dz_0.005,A_dz_0.010,A_dz_0.020,A_dz_0.040
25.0,0.275,0.06078858767803957,0.9662693111503786,4.910896910281379e-13,4.943456847150678e-13,0.0066301405759775596,4.92360093139846e-13,0.0025869044594450394,0.02164135857842855,0.04620475407889015,0.10943728380386145,0.385023244232936
25.0,0.425,0.09238556461901944,1.0799480536386585,2.848516175271232e-13,2.8594109457606254e-13,0.0038247177895544588,2.8569864766716883e-13,0.002973583746509659,0.006240685515020649,0.013990484006458715,0.03492024223572299,0.013724286353803902
25.0,0.575,0.09900858496827958,1.1936267961269384,2.746975379893011e-13,2.7476601547944037e-13,0.00024928323217061183,2.7555473587615255e-13,0.003120515360734151,-0.0019094708186547572,-0.002276722872170927,0.0032219707437314664,0.002726406168006701
37.5,0.275,0.06078858767803957,1.0478917913172314,4.910896910281379e-13,4.943456847150678e-13,0.0066301405759775596,4.92360093139846e-13,0.0025869044594450394,0.02164135857842855,0.04620475407889015,0.10943728380386145,0.385023244232936
37.5,0.425,0.09238556461901944,1.1711731785310233,2.848516175271232e-13,2.8594109457606254e-13,0.0038247177895544588,2.8569864766716883e-13,0.002973583746509659,0.006240685515020649,0.013990484006458715,0.03492024223572299,0.013724286353803902
37.5,0.575,0.09900858496827958,1.2944545657448152,2.746975379893011e-13,2.7476601547944037e-13,0.00024928323217061183,2.7555473587615255e-13,0.003120515360734151,-0.0019094708186547572,-0.002276722872170927,0.0032219707437314664,0.002726406168006701
52.5,0.275,0.06078858767803957,1.1208359326300394,2.1037824339394666e-13,2.132035735555397e-13,0.013429764009876383,2.1163623236083055e-13,0.005979653345275924,0.02164135857842855,0.04620475407889015,0.10943728380386145,0.385023244232936
52.5,0.425,0.09238556461901944,1.2526989835276912,2.848516175271232e-13,2.8594109457606254e-13,0.0038247177895544588,2.8569864766716883e-13,0.002973583746509659,0.006240685515020649,0.013990484006458715,0.03492024223572299,0.013724286353803902
52.5,0.575,0.09900858496827958,1.3845620344253429,2.746975379893011e-13,2.7476601547944037e-13,0.00024928323217061183,2.7555473587615255e-13,0.003120515360734151,-0.0019094708186547572,-0.002276722872170927,0.0032219707437314664,0.002726406168006701
130.0,0.275,0.06078858767803957,1.343689288878774,2.1037824339394666e-13,2.132035735555397e-13,0.013429764009876383,2.1163623236083055e-13,0.005979653345275924,0.02164135857842855,0.04620475407889015,0.10943728380386145,0.385023244232936
130.0,0.425,0.09238556461901944,1.5017703816880414,2.848516175271232e-13,2.8594109457606254e-13,0.0038247177895544588,2.8569864766716883e-13,0.002973583746509659,0.006240685515020649,0.013990484006458715,0.03492024223572299,0.013724286353803902
130.0,0.575,0.09900858496827958,1.659851474497309,2.746975379893011e-13,2.7476601547944037e-13,0.00024928323217061183,2.7555473587615255e-13,0.003120515360734151,-0.0019094708186547572,-0.002276722872170927,0.0032219707437314664,0.002726406168006701
