Nz,n_ring,ring_mode,err_I1_pct,err_I2_pct
80,20,gl,0.012421972640630496,0.01443140216194072
80,20,de,0.03269726916146354,0.02759893017590942
48,12,gl,0.003983019811260036,0.00242722629959502
48,12,de,1.6026437536215354,1.115715833029518
32,9,gl,0.018816248619923925,0.016976036130622596
32,9,de,3.4910441264554115,3.9538851712569656
24,9,gl,0.018816248619923925,0.016976036130622596
24,9,de,3.4910441264554115,3.9538851712569656
20,9,gl,0.018816248619923925,0.016976036130622596
20,9,de,3.4910441264554115,3.9538851712569656
16,9,gl,0.018816248619923925,0.016976036130622596
16,9,de,3.4910441264554115,3.9538851712569656
12,9,gl,0.018816248619923925,0.016976036130622596
12,9,de,3.4910441264554115,3.9538851712569656
