Nz_bias,n_ring,n_outer,n_total_nodes,max_err_P1_pct,max_err_I2_pct,max_err_I1_pct,avg_ms
80,20,30,80,0.03748318086538305,0.004405361776804728,0.013558776575517406,9.68301030419146
70,17,26,69,0.04447972011155654,0.010814024890448692,0.022232218060547204,8.38163198204711
60,15,22,59,0.032577196597771696,0.026835161103400118,0.030092715965568395,7.236142351757735
56,14,21,56,0.037555817916623546,0.029825377030656686,0.03359087323242527,6.9208644272293895
52,13,19,51,0.060593012066978424,0.054358265824294705,0.06490323785703911,6.387937416244919
48,12,18,48,0.0376684022042717,0.04172067919251399,0.045210254903671476,6.021097079307462
44,11,16,43,0.041888605232476284,0.06658256250877681,0.06775239040557324,5.470621506295477
40,10,15,40,0.05629853226621906,0.09665498455511123,0.09052261748287993,5.080055503640324
36,9,15,39,0.05631903830042306,0.09538867977509913,0.08976593535037214,4.973875106467555
32,9,15,39,0.05631903830042306,0.09538867977509913,0.08976593535037214,4.964694409864023
