I1,I1_prod,I1_quad,I2,I2_prod,I2_quad,P1,P1_prod,P1_quad,epsilon,err_I1_pct,err_I1_prod_pct,err_I2_pct,err_I2_prod_pct,err_P1_pct,err_P1_prod_pct,lob,mor_ring_drift_pct,zob
0.18691777242780946,0.18686281215377826,0.18696847942185818,0.27801278992744244,0.27792597869947505,0.278090047923385,1.8565909751037406,1.8565832738194605,1.8563230005741047,-2.0,0.02712061102786434,0.0565160867792569,0.02778164717488485,0.0589985960069761,0.01443577058264367,0.014020902896505483,20.0,-0.0663481645031827,0.6
0.19232705609954337,0.19227129472212928,0.19238049691651415,0.2858310464092421,0.2857427422410571,0.28591211831720786,1.9237173947485833,1.9237416195096464,1.9234722422124826,-1.5,0.02777870825126927,0.05676365127191829,0.028355534016155648,0.059240607620147934,0.012745311875095311,0.01400474055470724,20.0,-0.04976525146771493,0.6
0.19782842135164205,0.1977720275624541,0.19788484579076665,0.29377476499898125,0.293685078178754,0.2938598756649803,1.9933789902197125,1.9934346059109354,1.9931558276824592,-1.0,0.02851377471535521,0.0570120606566471,0.028963010280469437,0.05948327781420959,0.01119644205203052,0.013986775374208449,20.0,-0.03317958667645726,0.6
0.20341468551950703,0.2033578249793534,0.20347433399151527,0.3018330864540019,0.3017421224438496,0.30192244593713596,2.0655381336610903,2.065624837588497,2.0653363678529564,-0.5,0.029314985746908828,0.057259807601450774,0.02959683333800811,0.059725103486962805,0.009769150017135964,0.013967203600850908,20.0,-0.016591169672786066,0.6
0.20907780128816456,0.20902063336363386,0.20914090051247697,0.30999389814194095,0.30990175484805893,0.31008769737759667,2.1401318147145214,2.1402496320677034,2.1399511906835356,0.0,0.030170676399399188,0.0575053222724109,0.030249260595949234,0.05996449749868793,0.008440567792966647,0.013946177158952189,20.0,0.0,0.6
0.21480880019442242,0.21475147438398234,0.21487555841707162,0.3182437545062477,0.3181505192889429,0.3183421606019926,2.217067763800958,2.2172171558731244,2.2169084690345313,0.5,0.031068318398330685,0.05774692757211097,0.03091205247800488,0.06019979027827027,0.007185446248758609,0.013924203137150037,20.0,0.016593922798668892,0.6
0.22059774758713854,0.22054039969913553,0.2206683495181349,0.32656781410213276,0.3264735605843658,0.32667096526033185,2.2962205275148153,2.296402510912694,2.296083320938961,1.0,0.03199458878019312,0.05798285947159476,0.03157646964947469,0.06042920766121673,0.0059756793058474145,0.013901497860380196,20.0,0.033190599180077385,0.6
0.22643370266992352,0.22637645081043406,0.22650830414333836,0.3349497840896295,0.33485456880911235,0.33505778430344646,2.3774271473195228,2.377643425659259,2.3773134892104,1.5,0.03293542534653637,0.05821125781810821,0.03223330985772099,0.06065087989421958,0.004780947470250929,0.013878541906908737,20.0,0.049790029601148866,0.6
0.23230467033434268,0.2322476107339023,0.2323833927082799,0.3433718532232516,0.3432757121269294,0.3434847666643102,2.460481981247582,2.460735094808168,2.4603941854131146,2.0,0.03387607566089912,0.058430154063571216,0.032872910829540025,0.06086282643943397,0.0035683645729589486,0.013855885251023992,20.0,0.06639221451889554,0.6
0.26075903129152334,0.2607683930864061,0.26087678636768147,0.39625599954343876,0.3961868507295878,0.39635876670796666,2.872312399903676,2.8721294235724186,2.8726085477373644,-2.0,0.04513819638676253,0.04154960768437688,0.02592781418244705,0.043373830180859496,0.010309369646688271,0.016679062147995083,52.5,-0.08046532334862189,0.6
0.27078546805792675,0.27079210564517464,0.27090516982489043,0.4111084775331223,0.4110356779553652,0.4112148558338096,2.9924030094179224,2.9922826910336244,2.992790300911716,-1.5,0.0441858555305763,0.041735703969358884,0.025869274705947465,0.04357281258262624,0.01294081625683452,0.016961090723155436,52.5,-0.0603550645489892,0.6
0.28122249901405577,0.28122609745181876,0.28134405822069103,0.4265547314610799,0.42647824994105427,0.426665048543845,3.1193324671732223,3.119263687407525,3.119801980204738,-1.0,0.04320660169758739,0.041927584900247616,0.025855664330043382,0.04378108856778473,0.015049449756576738,0.01725406934891538,52.5,-0.040240758267440224,0.6
0.29207963302279144,0.2920798794233642,0.2922029877329576,0.4426076723494126,0.4425274953522958,0.4427222847234178,3.2534552783973965,3.2534248732147053,3.2539961918262716,-0.5,0.04221541713971266,0.04213109200166265,0.025888096886017564,0.04399809493296214,0.016623050458197675,0.017557445611071643,52.5,-0.020122403689371016,0.6
0.3033651000247344,0.30336168620704596,0.30349020120059444,0.4592783212991895,0.4591944535181643,0.45939761262363144,3.3951278256398782,3.3951204749719492,3.3957272640923173,0.0,0.04122082866766519,0.04234568135645933,0.02596690125590273,0.04422293453091308,0.01765272667147988,0.01786919481975291,52.5,0.0,0.6
0.31508574279678947,0.31507836708071635,0.3152125545888671,0.4765756546179224,0.4764881178031266,0.47670003238487285,3.544704094264574,3.5447022714260203,3.5453472154586083,0.5,0.04023056513184908,0.04257048337613645,0.026091411474882253,0.04445449283611014,0.018139864869382016,0.018191279820944928,52.5,0.02012645361562093,0.6
0.3272475894613673,0.32723596043476283,0.3273760772015869,0.4945074190785613,0.4944162528617263,0.49463731584353143,3.7025410652032917,3.70252500638681,3.70321089649588,1.0,0.03924774874142223,0.042799940674287384,0.02626101202021225,0.04469193381178016,0.018087851632275775,0.01852149737729958,52.5,0.04025695797258422,0.6
0.3398567282377225,0.33984057138973933,0.33998690857062486,0.5130813758871017,0.5129866417721956,0.513217251769749,3.8690031591070912,3.8689508953523752,3.8696806749447346,1.5,0.03828980752513811,0.0430420046173996,0.026475314728557908,0.044934186596068404,0.017508313852099278,0.01885890991172312,52.5,0.06039151388617103,0.6
0.3529196908142331,0.3528987541691658,0.35305156316403763,0.5323058414438644,0.5322076247755128,0.5324481862307306,4.044449229176394,4.044336803064445,4.045113563932165,2.0,0.03735215010032267,0.04328234479473725,0.026734016670038052,0.045180256302657096,0.01642314227453534,0.019202448965738306,52.5,0.08053012217181799,0.6
0.3261920027939883,0.32614821080606093,0.32617242238235816,0.5054805243851344,0.5054679888423677,0.5055071180746603,4.138111189062147,4.135074208436964,4.136255493427477,-2.0,0.00600308618585732,0.007422937880641189,0.0052607942747195935,0.007740589774818396,0.04486414433582109,0.028559284898865833,130.0,-0.09645249244534249,0.6
0.33941573602802394,0.3393859108746732,0.33941072359508834,0.5255308733394891,0.5255274972008116,0.5255675724563484,4.313909398496172,4.311024351308683,4.312262303182295,-1.5,0.0014768045283108933,0.0073105293057151854,0.006982758979556802,0.007625138542988186,0.03819561979476749,0.02870771271724637,130.0,-0.07234809448160018,0.6
0.3532902213238358,0.3532755093774277,0.35330093727472434,0.5465468443172482,0.5465537102988361,0.5465948059206451,4.500313706461709,4.497591030998857,4.498889668486591,-1.0,0.0030330943844081304,0.007197234599143343,0.00877461748216568,0.007518480117962856,0.03165309843211617,0.028865733179239683,130.0,-0.048237880688339896,0.6
0.36784575176531986,0.36784733076975007,0.3678734567915658,0.5685720541427655,0.5685903209374839,0.5686325223983419,4.6980072067523855,4.695456345856023,4.696819996402908,-0.5,0.007531129450755181,0.0071019045634890254,0.010633977691154595,0.007421570029109148,0.025276896929971038,0.02903348537797168,130.0,-0.024121849662328554,0.6
0.38311353804262266,0.3831326155889754,0.38315947319491006,0.5916513640584855,0.591682270373068,0.5917256637802704,4.907717076928416,4.905346056039344,4.906779374125647,0.0,0.011988520577188577,0.007009511134026258,0.012556447410139171,0.007333365756889698,0.019110351847362317,0.02921097479665624,130.0,0.0,0.6
0.39912549531879055,0.3991633061663089,0.3991909533379997,0.6158305696525558,0.6158754370320463,0.6159201228239177,5.130215628914864,5.128030564355413,5.129538559853077,0.5,0.01639767100476419,0.00692580116348207,0.014539737872398817,0.007255127769911773,0.013199414604003756,0.029398268091140878,130.0,0.024127669702544985,0.6
0.41591421481172913,0.41597201746594475,0.41600051782445996,0.6411563539076189,0.6412165890312023,0.6412626771587115,5.366322579755996,5.364327111150392,5.365915176129803,1.0,0.020745890697959624,0.006851039192035113,0.01658029616875556,0.00718709027530684,0.007592435079950555,0.029595417133609914,130.0,0.048261160849527585,0.6
0.43351324472281244,0.43359231877673565,0.43362174193082215,0.6676766801885862,0.6677537787160901,0.6678013896546664,5.6169090017737,5.615103646886156,5.616777580457175,1.5,0.025021164189464873,0.00678544252773472,0.01867463410711867,0.007129505765313127,0.002339799193440406,0.029802383075361316,130.0,0.07240047484555756,0.6
0.4519574274113946,0.4520590700741268,0.4520894652902667,0.6954412637035607,0.6955368133484343,0.6955860771992102,5.88289755435079,5.881279017910131,5.883045050482442,2.0,0.02920613927319682,0.006723274589104378,0.02081891808883851,0.0070823514717544,0.0025071392516395896,0.030019021733751483,130.0,0.09654561309551113,0.6
